"histology_abbreviation","Sum","Freq_mut","percent_mut","percent_whole","cell_type","regulator","pathway","pathway_new"
"Myeloid-AML",13,0,0,0.0952380952380952,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Myeloid-MDS",2,0,0,0.0952380952380952,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Myeloid-MPN",23,0,0,0.0952380952380952,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Thy-AdenoCA",48,0,0,0.0952380952380952,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Lung-SCC",48,5,0.104166666666667,0.0198095238095238,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from Pol III Promoter"
"ColoRect-AdenoCA",52,4,0.0769230769230769,0.0198095238095238,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from Pol III Promoter"
"Biliary-AdenoCA",33,2,0.0606060606060606,0.0198095238095238,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from Pol III Promoter"
"Cervix-SCC",18,1,0.0555555555555556,0.0198095238095238,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from Pol III Promoter"
"Head-SCC",57,3,0.0526315789473684,0.0198095238095238,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from Pol III Promoter"
"SoftTissue-Liposarc",19,1,0.0526315789473684,0.0198095238095238,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from Pol III Promoter"
"CNS-GBM",41,2,0.048780487804878,0.0198095238095238,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from Pol III Promoter"
"Skin-Melanoma",106,5,0.0471698113207547,0.0198095238095238,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from Pol III Promoter"
"Bladder-TCC",23,1,0.0434782608695652,0.0198095238095238,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from Pol III Promoter"
"Eso-AdenoCA",98,3,0.0306122448979592,0.0198095238095238,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from Pol III Promoter"
"Kidney-RCC",143,4,0.027972027972028,0.0198095238095238,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from Pol III Promoter"
"Lung-AdenoCA",38,1,0.0263157894736842,0.0198095238095238,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from Pol III Promoter"
"Uterus-AdenoCA",40,1,0.025,0.0198095238095238,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from Pol III Promoter"
"CNS-Medullo",146,3,0.0205479452054795,0.0198095238095238,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from Pol III Promoter"
"Lymph-BNHL",107,2,0.0186915887850467,0.0198095238095238,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from Pol III Promoter"
"Ovary-AdenoCA",112,2,0.0178571428571429,0.0198095238095238,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from Pol III Promoter"
"Prost-AdenoCA",210,3,0.0142857142857143,0.0198095238095238,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from Pol III Promoter"
"Liver-HCC",315,4,0.0126984126984127,0.0198095238095238,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from Pol III Promoter"
"Panc-AdenoCA",237,3,0.0126582278481013,0.0198095238095238,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from Pol III Promoter"
"Panc-Endocrine",85,1,0.0117647058823529,0.0198095238095238,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from Pol III Promoter"
"Breast-AdenoCA",198,1,0.00505050505050505,0.0198095238095238,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from Pol III Promoter"
"Bone-Benign",16,0,0,0.0198095238095238,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from Pol III Promoter"
"Bone-Epith",10,0,0,0.0198095238095238,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from Pol III Promoter"
"Bone-Osteosarc",38,0,0,0.0198095238095238,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from Pol III Promoter"
"Breast-DCIS",3,0,0,0.0198095238095238,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from Pol III Promoter"
"Breast-LobularCA",13,0,0,0.0198095238095238,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from Pol III Promoter"
"Cervix-AdenoCA",2,0,0,0.0198095238095238,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from Pol III Promoter"
"CNS-Oligo",18,0,0,0.0198095238095238,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from Pol III Promoter"
"CNS-PiloAstro",89,0,0,0.0198095238095238,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from Pol III Promoter"
"Kidney-ChRCC",45,0,0,0.0198095238095238,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from Pol III Promoter"
"Lymph-CLL",95,0,0,0.0198095238095238,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from Pol III Promoter"
"Myeloid-AML",13,0,0,0.0198095238095238,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from Pol III Promoter"
