"histology_abbreviation","Sum","Freq_mut","percent_mut","percent_whole","cell_type","regulator","pathway","pathway_new"
"CNS-GBM",41,2,0.048780487804878,0.0175238095238095,"Macrophages","neg","Sialic Acid Metabolism","Sialic Acid Metabolism"
"Lung-SCC",48,2,0.0416666666666667,0.0175238095238095,"Macrophages","neg","Sialic Acid Metabolism","Sialic Acid Metabolism"
"Eso-AdenoCA",98,4,0.0408163265306122,0.0175238095238095,"Macrophages","neg","Sialic Acid Metabolism","Sialic Acid Metabolism"
"Biliary-AdenoCA",33,1,0.0303030303030303,0.0175238095238095,"Macrophages","neg","Sialic Acid Metabolism","Sialic Acid Metabolism"
"Lung-AdenoCA",38,1,0.0263157894736842,0.0175238095238095,"Macrophages","neg","Sialic Acid Metabolism","Sialic Acid Metabolism"
"Breast-AdenoCA",198,5,0.0252525252525253,0.0175238095238095,"Macrophages","neg","Sialic Acid Metabolism","Sialic Acid Metabolism"
"Uterus-AdenoCA",40,1,0.025,0.0175238095238095,"Macrophages","neg","Sialic Acid Metabolism","Sialic Acid Metabolism"
"Liver-HCC",315,7,0.0222222222222222,0.0175238095238095,"Macrophages","neg","Sialic Acid Metabolism","Sialic Acid Metabolism"
"Panc-AdenoCA",237,5,0.0210970464135021,0.0175238095238095,"Macrophages","neg","Sialic Acid Metabolism","Sialic Acid Metabolism"
"Thy-AdenoCA",48,1,0.0208333333333333,0.0175238095238095,"Macrophages","neg","Sialic Acid Metabolism","Sialic Acid Metabolism"
"Stomach-AdenoCA",69,1,0.0144927536231884,0.0175238095238095,"Macrophages","neg","Sialic Acid Metabolism","Sialic Acid Metabolism"
"Lymph-CLL",95,1,0.0105263157894737,0.0175238095238095,"Macrophages","neg","Sialic Acid Metabolism","Sialic Acid Metabolism"
"Lymph-BNHL",107,1,0.00934579439252336,0.0175238095238095,"Macrophages","neg","Sialic Acid Metabolism","Sialic Acid Metabolism"
"Ovary-AdenoCA",112,1,0.00892857142857143,0.0175238095238095,"Macrophages","neg","Sialic Acid Metabolism","Sialic Acid Metabolism"
"Bladder-TCC",23,0,0,0.0175238095238095,"Macrophages","neg","Sialic Acid Metabolism","Sialic Acid Metabolism"
"Bone-Benign",16,0,0,0.0175238095238095,"Macrophages","neg","Sialic Acid Metabolism","Sialic Acid Metabolism"
"Bone-Epith",10,0,0,0.0175238095238095,"Macrophages","neg","Sialic Acid Metabolism","Sialic Acid Metabolism"
"Bone-Osteosarc",38,0,0,0.0175238095238095,"Macrophages","neg","Sialic Acid Metabolism","Sialic Acid Metabolism"
"Breast-DCIS",3,0,0,0.0175238095238095,"Macrophages","neg","Sialic Acid Metabolism","Sialic Acid Metabolism"
"Cervix-AdenoCA",2,0,0,0.0175238095238095,"Macrophages","neg","Sialic Acid Metabolism","Sialic Acid Metabolism"
"Cervix-SCC",18,0,0,0.0175238095238095,"Macrophages","neg","Sialic Acid Metabolism","Sialic Acid Metabolism"
"CNS-Medullo",146,0,0,0.0175238095238095,"Macrophages","neg","Sialic Acid Metabolism","Sialic Acid Metabolism"
"CNS-Oligo",18,0,0,0.0175238095238095,"Macrophages","neg","Sialic Acid Metabolism","Sialic Acid Metabolism"
"CNS-PiloAstro",89,0,0,0.0175238095238095,"Macrophages","neg","Sialic Acid Metabolism","Sialic Acid Metabolism"
"Head-SCC",57,0,0,0.0175238095238095,"Macrophages","neg","Sialic Acid Metabolism","Sialic Acid Metabolism"
"Kidney-ChRCC",45,0,0,0.0175238095238095,"Macrophages","neg","Sialic Acid Metabolism","Sialic Acid Metabolism"
"Kidney-RCC",143,0,0,0.0175238095238095,"Macrophages","neg","Sialic Acid Metabolism","Sialic Acid Metabolism"
"Myeloid-AML",13,0,0,0.0175238095238095,"Macrophages","neg","Sialic Acid Metabolism","Sialic Acid Metabolism"
"Myeloid-MDS",2,0,0,0.0175238095238095,"Macrophages","neg","Sialic Acid Metabolism","Sialic Acid Metabolism"
"Myeloid-MPN",23,0,0,0.0175238095238095,"Macrophages","neg","Sialic Acid Metabolism","Sialic Acid Metabolism"
"Panc-Endocrine",85,0,0,0.0175238095238095,"Macrophages","neg","Sialic Acid Metabolism","Sialic Acid Metabolism"
"Prost-AdenoCA",210,0,0,0.0175238095238095,"Macrophages","neg","Sialic Acid Metabolism","Sialic Acid Metabolism"
"SoftTissue-Leiomyo",15,0,0,0.0175238095238095,"Macrophages","neg","Sialic Acid Metabolism","Sialic Acid Metabolism"
"SoftTissue-Liposarc",19,0,0,0.0175238095238095,"Macrophages","neg","Sialic Acid Metabolism","Sialic Acid Metabolism"
"ColoRect-AdenoCA",52,4,0.0769230769230769,0.012952380952381,"Macrophages","neg","Trna Modification In The Mitochondrion","tRNA Modification in the Mitochondrion"
"Lung-SCC",48,3,0.0625,0.012952380952381,"Macrophages","neg","Trna Modification In The Mitochondrion","tRNA Modification in the Mitochondrion"
"Head-SCC",57,3,0.0526315789473684,0.012952380952381,"Macrophages","neg","Trna Modification In The Mitochondrion","tRNA Modification in the Mitochondrion"
"Bladder-TCC",23,1,0.0434782608695652,0.012952380952381,"Macrophages","neg","Trna Modification In The Mitochondrion","tRNA Modification in the Mitochondrion"
"Biliary-AdenoCA",33,1,0.0303030303030303,0.012952380952381,"Macrophages","neg","Trna Modification In The Mitochondrion","tRNA Modification in the Mitochondrion"
"Lung-AdenoCA",38,1,0.0263157894736842,0.012952380952381,"Macrophages","neg","Trna Modification In The Mitochondrion","tRNA Modification in the Mitochondrion"
"Liver-HCC",315,7,0.0222222222222222,0.012952380952381,"Macrophages","neg","Trna Modification In The Mitochondrion","tRNA Modification in the Mitochondrion"
"Eso-AdenoCA",98,2,0.0204081632653061,0.012952380952381,"Macrophages","neg","Trna Modification In The Mitochondrion","tRNA Modification in the Mitochondrion"
"Breast-AdenoCA",198,4,0.0202020202020202,0.012952380952381,"Macrophages","neg","Trna Modification In The Mitochondrion","tRNA Modification in the Mitochondrion"
"Skin-Melanoma",106,2,0.0188679245283019,0.012952380952381,"Macrophages","neg","Trna Modification In The Mitochondrion","tRNA Modification in the Mitochondrion"
"Kidney-RCC",143,2,0.013986013986014,0.012952380952381,"Macrophages","neg","Trna Modification In The Mitochondrion","tRNA Modification in the Mitochondrion"
"Panc-Endocrine",85,1,0.0117647058823529,0.012952380952381,"Macrophages","neg","Trna Modification In The Mitochondrion","tRNA Modification in the Mitochondrion"
"Ovary-AdenoCA",112,1,0.00892857142857143,0.012952380952381,"Macrophages","neg","Trna Modification In The Mitochondrion","tRNA Modification in the Mitochondrion"
"CNS-Medullo",146,1,0.00684931506849315,0.012952380952381,"Macrophages","neg","Trna Modification In The Mitochondrion","tRNA Modification in the Mitochondrion"
"Panc-AdenoCA",237,1,0.00421940928270042,0.012952380952381,"Macrophages","neg","Trna Modification In The Mitochondrion","tRNA Modification in the Mitochondrion"
"Bone-Benign",16,0,0,0.012952380952381,"Macrophages","neg","Trna Modification In The Mitochondrion","tRNA Modification in the Mitochondrion"
"Bone-Epith",10,0,0,0.012952380952381,"Macrophages","neg","Trna Modification In The Mitochondrion","tRNA Modification in the Mitochondrion"
"Bone-Osteosarc",38,0,0,0.012952380952381,"Macrophages","neg","Trna Modification In The Mitochondrion","tRNA Modification in the Mitochondrion"
"Breast-DCIS",3,0,0,0.012952380952381,"Macrophages","neg","Trna Modification In The Mitochondrion","tRNA Modification in the Mitochondrion"
"Breast-LobularCA",13,0,0,0.012952380952381,"Macrophages","neg","Trna Modification In The Mitochondrion","tRNA Modification in the Mitochondrion"
"Cervix-AdenoCA",2,0,0,0.012952380952381,"Macrophages","neg","Trna Modification In The Mitochondrion","tRNA Modification in the Mitochondrion"
"Cervix-SCC",18,0,0,0.012952380952381,"Macrophages","neg","Trna Modification In The Mitochondrion","tRNA Modification in the Mitochondrion"
"CNS-GBM",41,0,0,0.012952380952381,"Macrophages","neg","Trna Modification In The Mitochondrion","tRNA Modification in the Mitochondrion"
"CNS-Oligo",18,0,0,0.012952380952381,"Macrophages","neg","Trna Modification In The Mitochondrion","tRNA Modification in the Mitochondrion"
"CNS-PiloAstro",89,0,0,0.012952380952381,"Macrophages","neg","Trna Modification In The Mitochondrion","tRNA Modification in the Mitochondrion"
"Kidney-ChRCC",45,0,0,0.012952380952381,"Macrophages","neg","Trna Modification In The Mitochondrion","tRNA Modification in the Mitochondrion"
"Lymph-BNHL",107,0,0,0.012952380952381,"Macrophages","neg","Trna Modification In The Mitochondrion","tRNA Modification in the Mitochondrion"
"Lymph-CLL",95,0,0,0.012952380952381,"Macrophages","neg","Trna Modification In The Mitochondrion","tRNA Modification in the Mitochondrion"
"Myeloid-AML",13,0,0,0.012952380952381,"Macrophages","neg","Trna Modification In The Mitochondrion","tRNA Modification in the Mitochondrion"
"Myeloid-MDS",2,0,0,0.012952380952381,"Macrophages","neg","Trna Modification In The Mitochondrion","tRNA Modification in the Mitochondrion"
"Myeloid-MPN",23,0,0,0.012952380952381,"Macrophages","neg","Trna Modification In The Mitochondrion","tRNA Modification in the Mitochondrion"
"Prost-AdenoCA",210,0,0,0.012952380952381,"Macrophages","neg","Trna Modification In The Mitochondrion","tRNA Modification in the Mitochondrion"
"SoftTissue-Leiomyo",15,0,0,0.012952380952381,"Macrophages","neg","Trna Modification In The Mitochondrion","tRNA Modification in the Mitochondrion"
"SoftTissue-Liposarc",19,0,0,0.012952380952381,"Macrophages","neg","Trna Modification In The Mitochondrion","tRNA Modification in the Mitochondrion"
"Stomach-AdenoCA",69,0,0,0.012952380952381,"Macrophages","neg","Trna Modification In The Mitochondrion","tRNA Modification in the Mitochondrion"
"Thy-AdenoCA",48,0,0,0.012952380952381,"Macrophages","neg","Trna Modification In The Mitochondrion","tRNA Modification in the Mitochondrion"
"Uterus-AdenoCA",40,0,0,0.012952380952381,"Macrophages","neg","Trna Modification In The Mitochondrion","tRNA Modification in the Mitochondrion"
"Cervix-AdenoCA",2,1,0.5,0.0895238095238095,"Macrophages","pos","Hswi Snf Pathway","SWI SNF Pathway"
"Bladder-TCC",23,7,0.304347826086957,0.0895238095238095,"Macrophages","pos","Hswi Snf Pathway","SWI SNF Pathway"
"Eso-AdenoCA",98,25,0.255102040816327,0.0895238095238095,"Macrophages","pos","Hswi Snf Pathway","SWI SNF Pathway"
"Lymph-BNHL",107,25,0.233644859813084,0.0895238095238095,"Macrophages","pos","Hswi Snf Pathway","SWI SNF Pathway"
"ColoRect-AdenoCA",52,12,0.230769230769231,0.0895238095238095,"Macrophages","pos","Hswi Snf Pathway","SWI SNF Pathway"
"Skin-Melanoma",106,22,0.207547169811321,0.0895238095238095,"Macrophages","pos","Hswi Snf Pathway","SWI SNF Pathway"
"Stomach-AdenoCA",69,13,0.188405797101449,0.0895238095238095,"Macrophages","pos","Hswi Snf Pathway","SWI SNF Pathway"
"Uterus-AdenoCA",40,7,0.175,0.0895238095238095,"Macrophages","pos","Hswi Snf Pathway","SWI SNF Pathway"
"Lung-AdenoCA",38,6,0.157894736842105,0.0895238095238095,"Macrophages","pos","Hswi Snf Pathway","SWI SNF Pathway"
"Lung-SCC",48,6,0.125,0.0895238095238095,"Macrophages","pos","Hswi Snf Pathway","SWI SNF Pathway"
"Panc-AdenoCA",237,29,0.122362869198312,0.0895238095238095,"Macrophages","pos","Hswi Snf Pathway","SWI SNF Pathway"
"Biliary-AdenoCA",33,4,0.121212121212121,0.0895238095238095,"Macrophages","pos","Hswi Snf Pathway","SWI SNF Pathway"
"Liver-HCC",315,33,0.104761904761905,0.0895238095238095,"Macrophages","pos","Hswi Snf Pathway","SWI SNF Pathway"
"Kidney-RCC",143,13,0.0909090909090909,0.0895238095238095,"Macrophages","pos","Hswi Snf Pathway","SWI SNF Pathway"
"Cervix-SCC",18,1,0.0555555555555556,0.0895238095238095,"Macrophages","pos","Hswi Snf Pathway","SWI SNF Pathway"
"CNS-Oligo",18,1,0.0555555555555556,0.0895238095238095,"Macrophages","pos","Hswi Snf Pathway","SWI SNF Pathway"
"SoftTissue-Liposarc",19,1,0.0526315789473684,0.0895238095238095,"Macrophages","pos","Hswi Snf Pathway","SWI SNF Pathway"
"CNS-Medullo",146,7,0.047945205479452,0.0895238095238095,"Macrophages","pos","Hswi Snf Pathway","SWI SNF Pathway"
"Breast-AdenoCA",198,9,0.0454545454545455,0.0895238095238095,"Macrophages","pos","Hswi Snf Pathway","SWI SNF Pathway"
"Myeloid-MPN",23,1,0.0434782608695652,0.0895238095238095,"Macrophages","pos","Hswi Snf Pathway","SWI SNF Pathway"
"Ovary-AdenoCA",112,3,0.0267857142857143,0.0895238095238095,"Macrophages","pos","Hswi Snf Pathway","SWI SNF Pathway"
"CNS-GBM",41,1,0.024390243902439,0.0895238095238095,"Macrophages","pos","Hswi Snf Pathway","SWI SNF Pathway"
"Prost-AdenoCA",210,5,0.0238095238095238,0.0895238095238095,"Macrophages","pos","Hswi Snf Pathway","SWI SNF Pathway"
"Lymph-CLL",95,2,0.0210526315789474,0.0895238095238095,"Macrophages","pos","Hswi Snf Pathway","SWI SNF Pathway"
"Panc-Endocrine",85,1,0.0117647058823529,0.0895238095238095,"Macrophages","pos","Hswi Snf Pathway","SWI SNF Pathway"
"Bone-Benign",16,0,0,0.0895238095238095,"Macrophages","pos","Hswi Snf Pathway","SWI SNF Pathway"
"Bone-Epith",10,0,0,0.0895238095238095,"Macrophages","pos","Hswi Snf Pathway","SWI SNF Pathway"
"Bone-Osteosarc",38,0,0,0.0895238095238095,"Macrophages","pos","Hswi Snf Pathway","SWI SNF Pathway"
"Breast-DCIS",3,0,0,0.0895238095238095,"Macrophages","pos","Hswi Snf Pathway","SWI SNF Pathway"
"Breast-LobularCA",13,0,0,0.0895238095238095,"Macrophages","pos","Hswi Snf Pathway","SWI SNF Pathway"
"CNS-PiloAstro",89,0,0,0.0895238095238095,"Macrophages","pos","Hswi Snf Pathway","SWI SNF Pathway"
"Head-SCC",57,0,0,0.0895238095238095,"Macrophages","pos","Hswi Snf Pathway","SWI SNF Pathway"
"Kidney-ChRCC",45,0,0,0.0895238095238095,"Macrophages","pos","Hswi Snf Pathway","SWI SNF Pathway"
"Myeloid-AML",13,0,0,0.0895238095238095,"Macrophages","pos","Hswi Snf Pathway","SWI SNF Pathway"
"Myeloid-MDS",2,0,0,0.0895238095238095,"Macrophages","pos","Hswi Snf Pathway","SWI SNF Pathway"
"SoftTissue-Leiomyo",15,0,0,0.0895238095238095,"Macrophages","pos","Hswi Snf Pathway","SWI SNF Pathway"
"Thy-AdenoCA",48,0,0,0.0895238095238095,"Macrophages","pos","Hswi Snf Pathway","SWI SNF Pathway"
"Lymph-BNHL",107,47,0.439252336448598,0.075047619047619,"Macrophages","pos","Reg Gr Pathway","REG GR Pathway"
"Lung-SCC",48,14,0.291666666666667,0.075047619047619,"Macrophages","pos","Reg Gr Pathway","REG GR Pathway"
"Bladder-TCC",23,5,0.217391304347826,0.075047619047619,"Macrophages","pos","Reg Gr Pathway","REG GR Pathway"
"ColoRect-AdenoCA",52,10,0.192307692307692,0.075047619047619,"Macrophages","pos","Reg Gr Pathway","REG GR Pathway"
"Lung-AdenoCA",38,7,0.184210526315789,0.075047619047619,"Macrophages","pos","Reg Gr Pathway","REG GR Pathway"
"Skin-Melanoma",106,19,0.179245283018868,0.075047619047619,"Macrophages","pos","Reg Gr Pathway","REG GR Pathway"
"Eso-AdenoCA",98,11,0.112244897959184,0.075047619047619,"Macrophages","pos","Reg Gr Pathway","REG GR Pathway"
"Cervix-SCC",18,2,0.111111111111111,0.075047619047619,"Macrophages","pos","Reg Gr Pathway","REG GR Pathway"
"Stomach-AdenoCA",69,7,0.101449275362319,0.075047619047619,"Macrophages","pos","Reg Gr Pathway","REG GR Pathway"
"Kidney-RCC",143,14,0.0979020979020979,0.075047619047619,"Macrophages","pos","Reg Gr Pathway","REG GR Pathway"
"Uterus-AdenoCA",40,3,0.075,0.075047619047619,"Macrophages","pos","Reg Gr Pathway","REG GR Pathway"
"CNS-Medullo",146,9,0.0616438356164384,0.075047619047619,"Macrophages","pos","Reg Gr Pathway","REG GR Pathway"
"Ovary-AdenoCA",112,6,0.0535714285714286,0.075047619047619,"Macrophages","pos","Reg Gr Pathway","REG GR Pathway"
"SoftTissue-Liposarc",19,1,0.0526315789473684,0.075047619047619,"Macrophages","pos","Reg Gr Pathway","REG GR Pathway"
"Breast-AdenoCA",198,9,0.0454545454545455,0.075047619047619,"Macrophages","pos","Reg Gr Pathway","REG GR Pathway"
"Myeloid-MPN",23,1,0.0434782608695652,0.075047619047619,"Macrophages","pos","Reg Gr Pathway","REG GR Pathway"
"Panc-AdenoCA",237,10,0.0421940928270042,0.075047619047619,"Macrophages","pos","Reg Gr Pathway","REG GR Pathway"
"Liver-HCC",315,12,0.0380952380952381,0.075047619047619,"Macrophages","pos","Reg Gr Pathway","REG GR Pathway"
"Head-SCC",57,2,0.0350877192982456,0.075047619047619,"Macrophages","pos","Reg Gr Pathway","REG GR Pathway"
"Biliary-AdenoCA",33,1,0.0303030303030303,0.075047619047619,"Macrophages","pos","Reg Gr Pathway","REG GR Pathway"
"CNS-GBM",41,1,0.024390243902439,0.075047619047619,"Macrophages","pos","Reg Gr Pathway","REG GR Pathway"
"Lymph-CLL",95,2,0.0210526315789474,0.075047619047619,"Macrophages","pos","Reg Gr Pathway","REG GR Pathway"
"Prost-AdenoCA",210,3,0.0142857142857143,0.075047619047619,"Macrophages","pos","Reg Gr Pathway","REG GR Pathway"
"CNS-PiloAstro",89,1,0.0112359550561798,0.075047619047619,"Macrophages","pos","Reg Gr Pathway","REG GR Pathway"
"Bone-Benign",16,0,0,0.075047619047619,"Macrophages","pos","Reg Gr Pathway","REG GR Pathway"
"Bone-Epith",10,0,0,0.075047619047619,"Macrophages","pos","Reg Gr Pathway","REG GR Pathway"
"Bone-Osteosarc",38,0,0,0.075047619047619,"Macrophages","pos","Reg Gr Pathway","REG GR Pathway"
"Breast-DCIS",3,0,0,0.075047619047619,"Macrophages","pos","Reg Gr Pathway","REG GR Pathway"
"Breast-LobularCA",13,0,0,0.075047619047619,"Macrophages","pos","Reg Gr Pathway","REG GR Pathway"
"Cervix-AdenoCA",2,0,0,0.075047619047619,"Macrophages","pos","Reg Gr Pathway","REG GR Pathway"
"CNS-Oligo",18,0,0,0.075047619047619,"Macrophages","pos","Reg Gr Pathway","REG GR Pathway"
"Kidney-ChRCC",45,0,0,0.075047619047619,"Macrophages","pos","Reg Gr Pathway","REG GR Pathway"
"Myeloid-AML",13,0,0,0.075047619047619,"Macrophages","pos","Reg Gr Pathway","REG GR Pathway"
"Myeloid-MDS",2,0,0,0.075047619047619,"Macrophages","pos","Reg Gr Pathway","REG GR Pathway"
"Panc-Endocrine",85,0,0,0.075047619047619,"Macrophages","pos","Reg Gr Pathway","REG GR Pathway"
"SoftTissue-Leiomyo",15,0,0,0.075047619047619,"Macrophages","pos","Reg Gr Pathway","REG GR Pathway"
"Thy-AdenoCA",48,0,0,0.075047619047619,"Macrophages","pos","Reg Gr Pathway","REG GR Pathway"
"Lung-SCC",48,4,0.0833333333333333,0.0171428571428571,"Macrophages","pos","Myeloid Cell Homeostasis","Myeloid Cell Homeostasis"
"Lung-AdenoCA",38,3,0.0789473684210526,0.0171428571428571,"Macrophages","pos","Myeloid Cell Homeostasis","Myeloid Cell Homeostasis"
"ColoRect-AdenoCA",52,4,0.0769230769230769,0.0171428571428571,"Macrophages","pos","Myeloid Cell Homeostasis","Myeloid Cell Homeostasis"
"Uterus-AdenoCA",40,2,0.05,0.0171428571428571,"Macrophages","pos","Myeloid Cell Homeostasis","Myeloid Cell Homeostasis"
"Skin-Melanoma",106,5,0.0471698113207547,0.0171428571428571,"Macrophages","pos","Myeloid Cell Homeostasis","Myeloid Cell Homeostasis"
"Bladder-TCC",23,1,0.0434782608695652,0.0171428571428571,"Macrophages","pos","Myeloid Cell Homeostasis","Myeloid Cell Homeostasis"
"CNS-Medullo",146,4,0.0273972602739726,0.0171428571428571,"Macrophages","pos","Myeloid Cell Homeostasis","Myeloid Cell Homeostasis"
"Bone-Osteosarc",38,1,0.0263157894736842,0.0171428571428571,"Macrophages","pos","Myeloid Cell Homeostasis","Myeloid Cell Homeostasis"
"Kidney-ChRCC",45,1,0.0222222222222222,0.0171428571428571,"Macrophages","pos","Myeloid Cell Homeostasis","Myeloid Cell Homeostasis"
"Liver-HCC",315,7,0.0222222222222222,0.0171428571428571,"Macrophages","pos","Myeloid Cell Homeostasis","Myeloid Cell Homeostasis"
"Lymph-BNHL",107,2,0.0186915887850467,0.0171428571428571,"Macrophages","pos","Myeloid Cell Homeostasis","Myeloid Cell Homeostasis"
"Panc-AdenoCA",237,4,0.0168776371308017,0.0171428571428571,"Macrophages","pos","Myeloid Cell Homeostasis","Myeloid Cell Homeostasis"
"Breast-AdenoCA",198,3,0.0151515151515152,0.0171428571428571,"Macrophages","pos","Myeloid Cell Homeostasis","Myeloid Cell Homeostasis"
"Stomach-AdenoCA",69,1,0.0144927536231884,0.0171428571428571,"Macrophages","pos","Myeloid Cell Homeostasis","Myeloid Cell Homeostasis"
"Kidney-RCC",143,2,0.013986013986014,0.0171428571428571,"Macrophages","pos","Myeloid Cell Homeostasis","Myeloid Cell Homeostasis"
"Eso-AdenoCA",98,1,0.0102040816326531,0.0171428571428571,"Macrophages","pos","Myeloid Cell Homeostasis","Myeloid Cell Homeostasis"
"Biliary-AdenoCA",33,0,0,0.0171428571428571,"Macrophages","pos","Myeloid Cell Homeostasis","Myeloid Cell Homeostasis"
"Bone-Benign",16,0,0,0.0171428571428571,"Macrophages","pos","Myeloid Cell Homeostasis","Myeloid Cell Homeostasis"
"Bone-Epith",10,0,0,0.0171428571428571,"Macrophages","pos","Myeloid Cell Homeostasis","Myeloid Cell Homeostasis"
"Breast-DCIS",3,0,0,0.0171428571428571,"Macrophages","pos","Myeloid Cell Homeostasis","Myeloid Cell Homeostasis"
"Breast-LobularCA",13,0,0,0.0171428571428571,"Macrophages","pos","Myeloid Cell Homeostasis","Myeloid Cell Homeostasis"
"Cervix-AdenoCA",2,0,0,0.0171428571428571,"Macrophages","pos","Myeloid Cell Homeostasis","Myeloid Cell Homeostasis"
"Cervix-SCC",18,0,0,0.0171428571428571,"Macrophages","pos","Myeloid Cell Homeostasis","Myeloid Cell Homeostasis"
"CNS-GBM",41,0,0,0.0171428571428571,"Macrophages","pos","Myeloid Cell Homeostasis","Myeloid Cell Homeostasis"
"CNS-Oligo",18,0,0,0.0171428571428571,"Macrophages","pos","Myeloid Cell Homeostasis","Myeloid Cell Homeostasis"
"CNS-PiloAstro",89,0,0,0.0171428571428571,"Macrophages","pos","Myeloid Cell Homeostasis","Myeloid Cell Homeostasis"
"Head-SCC",57,0,0,0.0171428571428571,"Macrophages","pos","Myeloid Cell Homeostasis","Myeloid Cell Homeostasis"
"Lymph-CLL",95,0,0,0.0171428571428571,"Macrophages","pos","Myeloid Cell Homeostasis","Myeloid Cell Homeostasis"
"Myeloid-AML",13,0,0,0.0171428571428571,"Macrophages","pos","Myeloid Cell Homeostasis","Myeloid Cell Homeostasis"
"Myeloid-MDS",2,0,0,0.0171428571428571,"Macrophages","pos","Myeloid Cell Homeostasis","Myeloid Cell Homeostasis"
"Myeloid-MPN",23,0,0,0.0171428571428571,"Macrophages","pos","Myeloid Cell Homeostasis","Myeloid Cell Homeostasis"
"Ovary-AdenoCA",112,0,0,0.0171428571428571,"Macrophages","pos","Myeloid Cell Homeostasis","Myeloid Cell Homeostasis"
"Panc-Endocrine",85,0,0,0.0171428571428571,"Macrophages","pos","Myeloid Cell Homeostasis","Myeloid Cell Homeostasis"
"Prost-AdenoCA",210,0,0,0.0171428571428571,"Macrophages","pos","Myeloid Cell Homeostasis","Myeloid Cell Homeostasis"
"SoftTissue-Leiomyo",15,0,0,0.0171428571428571,"Macrophages","pos","Myeloid Cell Homeostasis","Myeloid Cell Homeostasis"
"SoftTissue-Liposarc",19,0,0,0.0171428571428571,"Macrophages","pos","Myeloid Cell Homeostasis","Myeloid Cell Homeostasis"
"Thy-AdenoCA",48,0,0,0.0171428571428571,"Macrophages","pos","Myeloid Cell Homeostasis","Myeloid Cell Homeostasis"
"Breast-LobularCA",13,1,0.0769230769230769,0.00914285714285714,"Macrophages","pos","Rhoh Gtpase Cycle","RHOH GTPase Cycle"
"Skin-Melanoma",106,8,0.0754716981132075,0.00914285714285714,"Macrophages","pos","Rhoh Gtpase Cycle","RHOH GTPase Cycle"
"ColoRect-AdenoCA",52,3,0.0576923076923077,0.00914285714285714,"Macrophages","pos","Rhoh Gtpase Cycle","RHOH GTPase Cycle"
"Lung-AdenoCA",38,2,0.0526315789473684,0.00914285714285714,"Macrophages","pos","Rhoh Gtpase Cycle","RHOH GTPase Cycle"
"Lung-SCC",48,2,0.0416666666666667,0.00914285714285714,"Macrophages","pos","Rhoh Gtpase Cycle","RHOH GTPase Cycle"
"CNS-GBM",41,1,0.024390243902439,0.00914285714285714,"Macrophages","pos","Rhoh Gtpase Cycle","RHOH GTPase Cycle"
"Head-SCC",57,1,0.0175438596491228,0.00914285714285714,"Macrophages","pos","Rhoh Gtpase Cycle","RHOH GTPase Cycle"
"Eso-AdenoCA",98,1,0.0102040816326531,0.00914285714285714,"Macrophages","pos","Rhoh Gtpase Cycle","RHOH GTPase Cycle"
"Lymph-BNHL",107,1,0.00934579439252336,0.00914285714285714,"Macrophages","pos","Rhoh Gtpase Cycle","RHOH GTPase Cycle"
"Liver-HCC",315,2,0.00634920634920635,0.00914285714285714,"Macrophages","pos","Rhoh Gtpase Cycle","RHOH GTPase Cycle"
"Breast-AdenoCA",198,1,0.00505050505050505,0.00914285714285714,"Macrophages","pos","Rhoh Gtpase Cycle","RHOH GTPase Cycle"
"Panc-AdenoCA",237,1,0.00421940928270042,0.00914285714285714,"Macrophages","pos","Rhoh Gtpase Cycle","RHOH GTPase Cycle"
"Biliary-AdenoCA",33,0,0,0.00914285714285714,"Macrophages","pos","Rhoh Gtpase Cycle","RHOH GTPase Cycle"
"Bladder-TCC",23,0,0,0.00914285714285714,"Macrophages","pos","Rhoh Gtpase Cycle","RHOH GTPase Cycle"
"Bone-Benign",16,0,0,0.00914285714285714,"Macrophages","pos","Rhoh Gtpase Cycle","RHOH GTPase Cycle"
"Bone-Epith",10,0,0,0.00914285714285714,"Macrophages","pos","Rhoh Gtpase Cycle","RHOH GTPase Cycle"
"Bone-Osteosarc",38,0,0,0.00914285714285714,"Macrophages","pos","Rhoh Gtpase Cycle","RHOH GTPase Cycle"
"Breast-DCIS",3,0,0,0.00914285714285714,"Macrophages","pos","Rhoh Gtpase Cycle","RHOH GTPase Cycle"
"Cervix-AdenoCA",2,0,0,0.00914285714285714,"Macrophages","pos","Rhoh Gtpase Cycle","RHOH GTPase Cycle"
"Cervix-SCC",18,0,0,0.00914285714285714,"Macrophages","pos","Rhoh Gtpase Cycle","RHOH GTPase Cycle"
"CNS-Medullo",146,0,0,0.00914285714285714,"Macrophages","pos","Rhoh Gtpase Cycle","RHOH GTPase Cycle"
"CNS-Oligo",18,0,0,0.00914285714285714,"Macrophages","pos","Rhoh Gtpase Cycle","RHOH GTPase Cycle"
"CNS-PiloAstro",89,0,0,0.00914285714285714,"Macrophages","pos","Rhoh Gtpase Cycle","RHOH GTPase Cycle"
"Kidney-ChRCC",45,0,0,0.00914285714285714,"Macrophages","pos","Rhoh Gtpase Cycle","RHOH GTPase Cycle"
"Kidney-RCC",143,0,0,0.00914285714285714,"Macrophages","pos","Rhoh Gtpase Cycle","RHOH GTPase Cycle"
"Lymph-CLL",95,0,0,0.00914285714285714,"Macrophages","pos","Rhoh Gtpase Cycle","RHOH GTPase Cycle"
"Myeloid-AML",13,0,0,0.00914285714285714,"Macrophages","pos","Rhoh Gtpase Cycle","RHOH GTPase Cycle"
