"Name_pos","Score_pos","Rank_pos","HumanGene","hommel_p_pos","fdr_pos","mean_score_pos","sd_score_pos","n_screens_pos","Name_neg","Score_neg","Rank_neg","hommel_p_neg","fdr_neg","mean_score_neg","sd_score_neg","n_screens_neg","Direction","cell_type","Score","P_value","Category","Regulation"
"GRPEL1",1,13500,"GRPEL1",1,1,-0.357618951986968,0.411205394850257,12,"GRPEL1",0.585045050315974,5034,1,1,0.213181699276123,0.567490498348727,12,"NS","NKcells",-0.0722186263554225,0.05,"NK cell","NK cell"
"MVD",1,13501,"MVD",0.108811456565657,1,-0.0234006451238382,0.616898623157918,13,"MVD",0.804452173080877,6319,0.0441943187950938,1,0.106880588272704,0.605878530297855,13,"Neg","NKcells",-0.106880588272704,0.0441943187950938,"NK cell","NK cell*"
"ANKRD27",1,13502,"ANKRD27",1,1,-0.288999597793172,0.539641858789295,13,"ANKRD27",1,7701,1,1,0.0881169543766706,0.606638465452217,13,"NS","NKcells",-0.100441321708251,0.05,"NK cell","NK cell"
"PIM2",1,13503,"PIM2",1,1,-0.140764238916067,0.516059133180712,13,"PIM2",1,13552,0.340366535678211,1,-0.0575152451385824,0.43839288893726,13,"NS","NKcells",-0.0991397420273248,0.05,"NK cell","NK cell"
"BAIAP3",1,13504,"BAIAP3",1,1,-0.059647875525866,0.544842620705733,13,"BAIAP3",0.98596946783716,7262,1,1,0.0257682243172886,0.511171081869557,13,"NS","NKcells",-0.0169398256042887,0.05,"NK cell","NK cell"
"TMEM132D",1,13505,"TMEM132D",1,1,-0.0419615426159581,0.573241986826462,13,"TMEM132D",0.391429723698401,3688,0.392581151803752,1,0.018850856308883,0.720956727335661,13,"NS","NKcells",-0.0115553431535376,0.05,"NK cell","NK cell"
"FZD1",1,13506,"FZD1",1,1,0.105247499848604,0.480843151216894,13,"FZD1",1,9678,1,1,0.0991893015996365,0.470499468958566,13,"NS","NKcells",0.10221840072412,0.05,"NK cell","NK cell"
"GCLM",1,13507,"GCLM",1,1,-0.10923136401181,0.491675830722446,13,"GCLM",0.550112694284093,4798,1,1,0.0978477003446009,0.383579374464298,13,"NS","NKcells",-0.00569183183360443,0.05,"NK cell","NK cell"
"APEX2",1,13508,"APEX2",1,1,-0.06767823897021,0.522394294281355,13,"APEX2",1,9961,1,1,-0.0511162340093526,0.540610371367668,13,"NS","NKcells",-0.0593972364897813,0.05,"NK cell","NK cell"
"PPFIA2",1,13509,"PPFIA2",1,1,0.0135819255071921,0.472336185456317,13,"PPFIA2",1,8613,1,1,0.0717437803423979,0.457639987910276,13,"NS","NKcells",0.042662852924795,0.05,"NK cell","NK cell"
"ARRDC5",1,13510,"ARRDC5",1,1,-0.0113139166343524,0.57735890966959,13,"ARRDC5",1,12805,1,1,-0.138471690728033,0.434108004321498,13,"NS","NKcells",-0.0748928036811928,0.05,"NK cell","NK cell"
"STX6",1,13511,"STX6",1,1,-0.210813054759277,0.55571968571072,13,"STX6",0.0156891838259574,327,1,1,0.318136259417047,0.628018247614239,13,"NS","NKcells",0.0536616023288848,0.05,"NK cell","NK cell"
"TSHZ3",1,13512,"TSHZ3",1,1,0.0151443777449121,0.591877885624277,13,"TSHZ3",1,7490,1,1,-0.0942537275731554,0.706584817701602,13,"NS","NKcells",-0.0395546749141217,0.05,"NK cell","NK cell"
"RHOU",1,13513,"RHOU",1,1,-0.0787050472682626,0.475672058264526,13,"RHOU",1,10223,1,1,-0.150726858556053,0.586031959540631,13,"NS","NKcells",-0.114715952912158,0.05,"NK cell","NK cell"
"ZFP30",1,13514,"ZFP30",1,1,-0.169254643017968,0.641598926943079,13,"ZFP30",0.217356625071604,2355,1,1,0.176186779189408,0.636860705503798,13,"NS","NKcells",0.00346606808572018,0.05,"NK cell","NK cell"
"ELMOD1",1,13515,"ELMOD1",1,1,-0.0657058707151698,0.567593371099929,13,"ELMOD1",1,9323,1,1,0.0642137775420115,0.521774208681844,13,"NS","NKcells",-0.000746046586579167,0.05,"NK cell","NK cell"
"PDSS1",1,13516,"PDSS1",1,1,0.0247528886268668,0.621796011345412,13,"PDSS1",0.25623988963281,2664,1,1,0.166480628587852,0.552975367850613,13,"NS","NKcells",0.0956167586073594,0.05,"NK cell","NK cell"
"DDX20",1,13517,"DDX20",0.0187278076839827,1,-0.0775438588486264,0.581275696059517,13,"DDX20",1,8605,1,1,0.0337779466503314,0.662855326259648,13,"NS","NKcells",-0.0218829560991475,0.05,"NK cell","NK cell"
"RAB10",1,13518,"RAB10",1,1,-0.0706406783053846,0.626860525236359,13,"RAB10",0.471712807083865,4280,1,1,0.111895315100613,0.576391681892644,13,"NS","NKcells",0.020627318397614,0.05,"NK cell","NK cell"
"TRIM38",1,13519,"TRIM38",1,1,0.0143378288113984,0.657371177566209,13,"TRIM38",1,9862,1,1,0.0967875906638023,0.547896563793979,13,"NS","NKcells",0.0555627097376003,0.05,"NK cell","NK cell"
"CCDC170",1,13520,"CCDC170",1,1,-0.230361170949953,0.527125657634476,13,"CCDC170",1,11026,1,1,-0.0459073362768437,0.539553651076458,13,"NS","NKcells",-0.138134253613398,0.05,"NK cell","NK cell"
"DCAF12",1,13521,"DCAF12",1,1,-0.134172774066408,0.497583260788698,13,"DCAF12",0.256766986384317,2669,1,1,0.220564812059603,0.515299327717896,13,"NS","NKcells",0.0431960189965972,0.05,"NK cell","NK cell"
"XPO5",1,13522,"XPO5",0.936845143326118,1,-0.0777113939996336,0.535603986463252,13,"XPO5",1,10326,0.15668519011544,1,-0.0530076524808493,0.578201778968408,13,"NS","NKcells",-0.0653595232402414,0.05,"NK cell","NK cell"
"SLC2A6",1,13523,"SLC2A6",1,1,-0.0575816658848596,0.465983445566976,13,"SLC2A6",0.307339006776477,3075,1,1,0.115345967777808,0.486162398731641,13,"NS","NKcells",0.0288821509464744,0.05,"NK cell","NK cell"
"SPDEF",1,13524,"SPDEF",1,1,-0.0786649588632803,0.600862625673275,13,"SPDEF",0.00635432320252951,168,1,1,0.191991801551526,0.577924587451966,13,"NS","NKcells",0.0566634213441228,0.05,"NK cell","NK cell"
"TRA2B",1,13525,"TRA2B",1,1,-0.0810134233101438,0.6435547633468,13,"TRA2B",0.756279364064996,6059,0.0442770022727273,1,0.145664701201193,0.65729334796613,13,"Neg","NKcells",-0.145664701201193,0.0442770022727273,"NK cell","NK cell*"
"ADAM10",1,13526,"ADAM10",1,1,0.0974175234285679,0.646375931832709,13,"ADAM10",0.471605077790357,4279,0.168054168290043,1,0.207404227777231,0.58937417852525,13,"NS","NKcells",0.152410875602899,0.05,"NK cell","NK cell"
"WDR70",1,13527,"WDR70",0.0477025545454545,1,-0.257889580428603,0.598157716448925,12,"WDR70",1,13471,1,1,0.0676443631754723,0.521247727474247,12,"NS","NKcells",-0.0951226086265654,0.05,"NK cell","NK cell"
"ANKRD17",1,13528,"ANKRD17",1,1,-0.0849794183649137,0.60338151939529,13,"ANKRD17",1,10537,1,1,0.0451934357608091,0.533134513945845,13,"NS","NKcells",-0.0198929913020523,0.05,"NK cell","NK cell"
"ZBED4",1,13529,"ZBED4",1,1,-0.115186196271834,0.504582140960498,13,"ZBED4",1,10827,1,1,-0.132556853219197,0.571431257182393,13,"NS","NKcells",-0.123871524745515,0.05,"NK cell","NK cell"
"YES1",1,13530,"YES1",1,1,0.00213554482914042,0.580034356006965,13,"YES1",1,13652,1,1,-0.0229206065893843,0.448550070308125,13,"NS","NKcells",-0.0103925308801219,0.05,"NK cell","NK cell"
"TCTN3",1,13531,"TCTN3",1,1,0.07131408572691,0.554691228829632,13,"TCTN3",0.373502960584847,3553,1,1,0.102433161923153,0.498016023007385,13,"NS","NKcells",0.0868736238250314,0.05,"NK cell","NK cell"
"CD300LG",1,13532,"CD300LG",1,1,0.0533548234126111,0.529858348439562,13,"CD300LG",1,14653,1,1,-0.181422381156179,0.561664533684722,13,"NS","NKcells",-0.0640337788717839,0.05,"NK cell","NK cell"
"GATM",1,13533,"GATM",1,1,0.128116160752092,0.589387115449385,13,"GATM",1,11437,1,1,0.0227219355760596,0.566363437246744,13,"NS","NKcells",0.0754190481640756,0.05,"NK cell","NK cell"
"TRA2A",1,13534,"TRA2A",1,1,-0.405434166886119,0.499309764496954,13,"TRA2A",0.764594301878307,6111,1,1,0.132568666419511,0.514561103848026,13,"NS","NKcells",-0.136432750233304,0.05,"NK cell","NK cell"
"ATG16L1",1,13535,"ATG16L1",1,1,-0.276528852264882,0.463201603330752,13,"ATG16L1",0.00174810559352869,67,0.00326599736652237,1,0.32641985648242,0.629607944382748,13,"Neg","NKcells",-0.32641985648242,0.00326599736652237,"NK cell","NK cell**"
"GFAP",1,13536,"GFAP",1,1,-0.276466979315899,0.326197245890619,13,"GFAP",1,8203,1,1,0.0612139056583401,0.562254120511736,13,"NS","NKcells",-0.107626536828779,0.05,"NK cell","NK cell"
"CAPN7",1,13537,"CAPN7",1,1,-0.116123735292181,0.506083081682077,13,"CAPN7",1,7397,1,1,-0.0528549673471316,0.635236731074428,13,"NS","NKcells",-0.0844893513196565,0.05,"NK cell","NK cell"
