pathway,pathway_new
Activation Of Gene Expression By Srebf (Srebp),Activation of Gene Expression by SREBF
Ncrna Processing,ncRNA Processing
Regulation Of Intrinsic Apoptotic Signaling Pathway,Regulation of Intrinsic Apoptotic Signaling
Interferon Gamma Mediated Signaling Pathway,IFNg Pathway
Butyrophilin (Btn) Family Interactions,Butyrophilin Family Interactions
Protein Destabilization,Protein Destabilization
Negative Regulation Of Dna Binding Transcription Factor Activity,Negative Regulation of DNA Binding TF Activity
Cytochrome Complex Assembly,Cytochrome Complex Assembly
Positive Regulation Of Dephosphorylation,Positive Regulation of Dephosphorylation
Regulation Of Fc Gamma Receptor Signaling Pathway Involved In Phagocytosis,FC Gamma Receptor Signaling Pathway Involved in Phagocytosis
Rhoa Reg Pathway,RHOA REG Pathway
Positive Regulation Of Apoptotic Signaling Pathway,Positive Regulation of Apoptotic Signaling Pathway
Nucleotide Sugar Metabolic Process,Nucleotide Sugar Metabolic Process
Golgi Vesicle Transport,Golgi Vesicle Transport
Vesicle Cytoskeletal Trafficking,Vesicle Cytoskeletal Trafficking
Rna Splicing Via Transesterification Reactions,RNA Splicing
Protein Export,Protein Export
N-Glycan Trimming In The Er And Calnexin/Calreticulin Cycle,N-Glycan Trimming in the ER and Calnexin/Calreticulin Cycle
